iter	Passed	Remaining
924	141608	11481
925	141890	11338
926	142069	11187
927	142235	11035
928	142396	10882
929	142531	10728
930	142683	10574
931	142862	10423
932	143045	10272
933	143184	10117
934	143347	9965
935	143487	9811
936	143667	9659
937	143791	9504
938	143947	9351
939	144110	9198
940	144277	9046
941	144429	8892
942	144563	8738
943	144692	8583
944	144823	8428
945	144962	8274
946	145077	8119
947	145191	7964
948	145313	7809
949	145464	7656
950	145593	7501
951	145738	7348
952	145869	7193
953	145984	7039
954	146134	6885
955	146278	6732
956	146431	6579
957	146552	6425
958	146671	6270
959	146827	6117
960	146982	5964
961	147107	5810
962	147246	5657
963	147412	5505
964	147596	5353
965	147731	5199
966	147939	5048
967	148123	4896
968	148283	4743
969	148438	4590
970	148559	4436
971	148708	4283
972	148850	4130
973	148988	3977
974	149170	3824
975	149308	3671
976	149474	3518
977	149592	3365
978	149727	3211
979	149851	3058
980	149971	2904
981	150115	2751
982	150278	2598
983	150436	2446
984	150606	2293
985	150761	2140
986	150901	1987
987	151015	1834
988	151147	1681
989	151302	1528
990	151437	1375
991	151566	1222
992	151679	1069
993	151811	916
994	151977	763
995	152119	610
996	152241	458
997	152396	305
998	152569	152
999	152713	0
